Band	k0	    k1	      k2
1 	2.809E-02	3.247E-06	-5.477E-10
2 	2.904E-02	3.822E-06	-7.863E-10
3 	2.824E-02	-1.558E-07	1.394E-10
4 	2.904E-02	-1.009E-07	9.414E-11
6 	2.055E-02	5.777E-07	-6.706E-12
7 	1.601E-02	-1.027E-07	1.108E-10
8 	2.441E-02	2.470E-06	7.120E-10
9 	2.410E-02	1.349E-06	1.301E-10
10 	2.086E-02	2.579E-06	-5.789E-10
11 	2.126E-02	3.201E-06	-7.361E-10
12 	2.161E-02	2.186E-06	-3.999E-10
13 	2.220E-02	-2.112E-07	1.277E-10
14 	2.015E-02	-2.157E-07	6.668E-11
15 	2.146E-02	-9.681E-08	3.465E-11
16 	2.273E-02	-1.084E-07	4.848E-11
17 	2.303E-02	1.267E-06	-1.510E-10
18 	1.869E-02	3.419E-06	-3.200E-10
19 	2.359E-02	2.259E-06	-1.755E-10
20 	2.652E-02	4.558E-06	-2.844E-10
